Width,Length
5.337294520735584,10.085698729115487
6.547349356508369,4.929308891161398
6.508996486149391,9.388959838993369
3.4129444498979655,8.053887317965163
3.319417266946245,7.1590566268627684
3.4791355160203983,8.286785207251384
5.6337883939858315,7.34280866288946
5.118465215365378,9.894841410929473
2.800742919634891,7.362700107437753
4.690306860996252,8.613958335253972
5.699871657340323,6.029808677693617
7.452370715929746,5.741791089577329
8.20896197397817,6.012623088779071
6.286974341468293,9.537359356610377
6.8678540456071016,5.108055727908932
3.3212312878224406,8.22965753695948
6.25790922737078,8.82442026379017
6.239767950355436,8.534206774039454
3.7103288744292557,9.33261275437248
6.223066040984058,5.542892211928855
3.165663321516591,8.044819161785597
6.195417469702126,8.705920309937182
6.2451188399992805,5.6790590841499515
5.349443485710922,9.574619075949872
2.2962432359319913,7.2956023106663075
2.8219864350110697,7.792869896871992
5.24228300299953,8.309774771423108
2.752141288461811,7.67292190612075
7.460232569843093,6.142421779833159
7.53814023660723,6.808956020633436
3.8860118612922583,7.66318109435357
5.226743243489115,10.041903536300186
6.413932094265526,8.182346968523667
7.16482209800864,6.06019038527813
7.596544605614698,5.068947211802614
2.106833115740973,7.455958050522474
7.40088676557731,5.816390902613881
4.227834099378061,6.126452994892255
5.437328826434774,9.681261761352662
5.9472106432983205,6.324929225312981
3.381358178699106,8.711038177024928
7.255708103657474,6.323854344070752
5.173042021858723,8.997313296127286
6.485912539989936,4.871166630476177
6.615606229683773,5.560944677015385
3.587845987494905,7.985307210477961
7.251576715154285,5.20247713228723
3.198423688073349,5.7855821229731745
4.263111831938293,8.265082923773896
6.636209765586788,5.116535769765661
3.074577549348965,8.106815309791656
6.944900610118207,7.477370108046683
2.9984779396829793,8.826374314788891
4.0432598625196015,7.959130173760263
6.266489455303157,5.386189232932559
5.341161223478226,9.340149104505688
5.788667718880529,9.865506804505866
3.8221791792149737,8.65146277051076
1.8181743147792684,7.932116188526793
7.049215528597415,10.332338466378589
6.386106021087934,5.655476416948367
8.424406137208365,6.170728985819485
5.504237216086332,9.326068718240435
2.647685435331713,8.828881911498456
7.6444094062844234,5.7230426538252726
1.8710619587679247,8.093921351848198
5.948772105787248,8.486121879029552
6.775653200948865,6.1567027814312
5.531177823681278,9.77729063391094
6.675264488221176,6.188898692320935
4.300061007679894,7.475549630729506
4.537092389314136,9.121594776524459
1.8143851531194723,8.522718871681477
4.086178919889226,7.837307033392064
6.961676429664971,6.65208432412132
6.122062563200297,9.98743465298699
7.251214740763144,5.828958387187866
3.1108326570208122,7.232701359781984
5.717842791986785,9.136221903145241
6.022832134214712,9.515517655866237
2.4889219453905653,7.504841909224445
6.620871255193068,9.526896684508504
8.010439815104608,5.415049230752981
5.05513489118843,8.980678104078095
5.458575981072576,10.383897544233104
7.6444714209512545,9.964922968341678
6.058424885145106,5.552339741584401
2.460521697083723,8.478090825871142
5.9285009548192535,10.503127232602946
5.413883313624806,8.82110248302325
4.2405387787441535,7.753931200391947
8.081872622334803,6.4944500175607995
2.387795445219658,8.210005436055408
7.022125429756819,9.16017654281233
7.420012934949809,5.494612081068791
6.972552689842879,5.421538917140142
5.086930579606482,9.982365023158998
5.817290605958957,6.146500914858575
2.330251818413948,6.820444854317206
5.728474340669056,8.341321422055778
7.540908728315971,5.78596225323555
4.099778177801046,8.880357107808216
5.983620093051069,10.553896673182475
7.57829935537612,5.0654021912953215
6.7460317956674745,9.762471938954208
6.639346455988118,9.195280262284806
2.7933227874669555,8.1382543044942
6.225726556568576,9.798388545182753
6.561977328333514,6.557946167416583
6.12128659145095,4.954961405879648
5.2523000892973695,9.780903490245528
3.7193420642550454,8.183347134808034
7.490535243042978,10.239356892053864
6.065108543439029,9.58517988185968
3.289944174780464,7.790310912680162
3.203844190578332,7.607196996124484
5.20320174094658,9.340302882931072
7.283561350845094,9.93801858824116
5.476372560851345,5.181908869393014
7.521735678855218,5.5751598087659495
5.8665934478303,6.168759992714481
1.9053731457148793,8.198931599896325
6.570832627983805,6.973127597909995
6.394155142290103,5.610628874696153
7.353648632977548,6.371499284459109
3.3435584170715558,7.3525283200016744
6.730750339180612,6.23470069157936
6.746621678828064,5.70141481330878
6.365410005053972,4.867379154713426
2.006873836933793,8.004487601296578
3.7972872173011196,8.11324929640784
3.2298805300291002,7.510994327530895
5.525737196563472,7.747405120891291
2.577313565535127,7.5080804183386824
3.1964356989200464,7.106287899853184
6.785851655005985,5.963709772459889
3.4411032143159304,8.072237620363143
5.505547765103329,9.052100114370011
3.303682105868941,8.980665080582117
3.6425785594676805,7.295778081185581
6.799982040358698,6.007356358628591
5.160665189998146,9.93436586831632
6.921810075925898,5.621269000114522
6.302233786357817,8.228416747054332
4.081370427605851,8.111692595425412
3.2567158754378984,7.754455598252537
5.099313326511547,9.848030576530727
3.6720917563431446,9.137750407792065
3.793286911132788,7.242653851719513
6.598662001478365,5.53283114132716
5.6187064822482835,8.4773447985627
3.6225320210152128,7.071880703719868
5.619513551320337,8.99713531632056
7.861899616781062,6.653396674363711
3.3172720101142703,7.2787268087038655
3.085079248178184,7.588435900624769
6.850981367509374,5.364619111669801
7.421991238116822,5.9595591208692
5.694046215665269,10.15949887671609
6.807865297302839,4.766131727882215
4.781880945108986,10.669330104110642
6.837473555055899,10.145453221597478
6.977889061370147,6.6117845581389965
5.3734120990082035,10.640832794617713
4.123749564813764,8.32543947531167
7.294475566485874,8.360355984648677
6.576051506878379,8.848069412138287
6.379883650176954,9.157978198543795
5.407067681115377,8.095389505816216
3.7214263719573473,8.349702849408418
8.636783786916475,5.868083653775487
6.008301040657507,9.172758632430305
4.128815711252774,8.906511655559333
7.089914008587941,6.243349403334606
6.3235901651300095,6.745465362715827
8.101406702576837,4.448674142428464
5.532244612969821,9.049868511257394
7.544187525808013,5.900303282298325
5.6276473630618815,10.65445976512028
7.018046614203415,10.630909750669797
7.247428971839636,5.274023101841068
4.0482059852129515,7.921587113742675
6.253474777409647,8.538644271337036
6.07710057835911,10.321778782322472
5.904016882291005,9.59120627880525
5.354820055205416,7.917229799691642
7.154634735757424,5.67413376793637
3.7907433256230734,6.637063973629951
5.705141306360929,9.092175402045655
4.033491349179792,7.972664383946286
5.956542518709437,9.603619636819683
6.185036800490734,10.23225745512931
7.08230890772101,4.737963088312569
6.551544449446623,5.328568567950082
3.0110565626842365,8.040955528640342
5.907353311448692,8.839352526994915
7.803224100954084,5.580293597241965
3.1440729688874822,7.766170231930246
6.406125637788751,9.94933199754496
2.7604666740769392,7.863383932174527
6.962251117122009,5.689210044356727
3.382021118842502,7.983649521903021
6.7738505577268056,8.439409253200832
2.675234267979353,8.467352526201473
7.0257475055294725,5.696842625265002
4.013080150851886,8.63848944148106
4.932389763652571,9.611361518333567
2.9627647256218075,8.055472441843271
5.671662592341349,10.59827193738393
7.04429004331109,6.010313377746693
6.100468378124122,9.022540672102608
5.732731574018188,9.413231605821176
3.280126612585705,7.421072685240301
6.520366774698368,4.891209628276832
6.5764598930168265,7.059349217270848
6.140698725218156,7.058355135670668
6.245939819157539,6.444502331134933
4.835131235670264,9.627734906316432
4.076913194708011,6.05894889625067
7.692392757097692,6.119716410571848
6.4243621468148095,8.171918096430806
5.193846954835159,6.322087326989504
7.539344647182009,6.383988060497141
7.591931748584438,6.147068632168539
6.084733276534337,9.56850109116991
2.0616113473182627,7.540264017970972
3.1448910552013376,6.376873361482732
5.686736792014672,8.78056895943986
7.565098315337821,8.285731355229254
4.880975663802291,7.8866654628140225
5.155083694966583,10.664322157402895
6.637847694517522,5.860866552549254
6.7195084516273145,6.331914468778395
5.366712074119178,8.898592562113299
6.609061603546317,5.619573389907778
2.734856061988585,8.4920557474604
2.5405478285619436,6.5398449784829085
4.133228247903857,6.000108244300433
5.276119335373799,8.222447559704062
5.758183306057334,9.343103067009212
7.04335323172987,6.163069874826494
3.4989999921151993,8.455413946746015
3.8534143107493586,8.225212331703553
3.121124296328318,9.606599837013746
2.52954819093771,7.384780889553531
7.505587646976927,4.79822727389452
4.686000817621488,8.397033036134555
2.8369617146067574,7.620859926648592
6.092941525307266,9.748309333272864
7.707561383312891,6.13563914859882
7.605697094909161,5.571170292222777
6.4468764084552,9.589010612817168
5.765118836323224,5.563081857109596
5.826144113026475,6.213317783202077
3.732673487674866,8.017325524964187
5.0712702417400815,9.490722935992817
5.976709611321641,5.941947055878169
4.330505381713657,7.963281535773627
6.641331970814408,9.197837281640002
6.80141577835825,9.177839942379745
2.925255577698827,7.840609752014301
6.76491522402105,8.547835271593993
4.396491800189198,7.30018908834818
3.146304104541161,6.926047982144741
4.18917720746264,9.761320344256642
3.741008687786682,7.893912664960755
5.490072576734539,9.19904314921902
6.960102730958053,6.693487613759824
6.637146273157124,5.731118449122732
6.910434948118098,6.513788898394484
7.012129039965925,5.8225499665341145
6.5813754177481485,8.78427181316388
6.516523464396062,9.880240235223003
5.657397326084355,9.31602273876593
6.6408646433945275,9.365073196418024
7.322329497082764,10.340147681452487
3.609644774784061,6.670788262339209
3.012108910014592,7.557918485175131
6.838958443099893,4.724460995506953
6.807890933193106,9.525647155795784
6.486633472070771,9.394075364978576
6.598581513761964,5.623996297306616
7.0382392343536235,5.381042023493955
7.334599963380969,3.956848730439282
3.6126061246056205,7.882459782659957
7.6558142684375134,6.696434966598238
2.909157431500537,7.13506391430798
2.812038043201089,8.084554464815742
6.837647201243948,5.965843776326086
7.123674998833277,6.305731235765243
3.331068198241428,7.840964315816603
4.13282367023237,7.730565938968379
4.532425644579338,8.305074706278432
8.668009209811636,5.155652584032854
6.342563740918722,9.183704895592816
4.846541585255929,9.15486913129861
4.243295023532356,8.826497641961478
6.573781193712801,5.047809477772052
5.4549417031125875,8.72528035038708
5.360452823572601,7.866134994936832
